Page ID,Gate,Working Title,Primary Page Type,Secondary Characteristic,Source Sections,Engineering Thesis,Main Visual,Beeline Relevance,Evidence Level,Source Linkage Status,A3 Production Status,Priority,Workshop Candidate
A3-EC00-01,EC-00,Reference Architecture Overview,PT-01,NONE,"Tech Pack — Exec Summary, Arch Map","The reference architecture separates connectivity from engineering state across seven answered questions",Architecture Map (TECH-01–07 flow),HIGH,PROPOSED (reference arch),SOURCE LINKAGE PENDING,CONTENT EXTRACTED,CORE,Y
A3-EC00-02,EC-00,System Responsibility Model,PT-09,NONE,"TECH-02, TECH-03 matrices","Beeline owns connectivity identity; HouseMaster owns domain identity — ownership never transfers",Responsibility/ownership matrix,HIGH,PROPOSED,SOURCE LINKAGE PENDING,CONTENT EXTRACTED,CORE,Y
A3-EC00-03,EC-00,Architecture Axioms,PT-01,NONE,TECH-08 axioms,"Ten axioms govern every layer, from signal to pilot",Axiom list/wall,MEDIUM,PROPOSED,SOURCE LINKAGE PENDING,CONTENT EXTRACTED,SUPPORTING,N
A3-EC00-04,EC-00,Scope & Open Questions,PT-08,NONE,"Open Questions Q1–Q15, TECH-07","Fifteen questions must be jointly validated before pilot design proceeds",Q1–Q15 table,HIGH,TBD WITH BEELINE,SOURCE LINKAGE PENDING,CONTENT EXTRACTED,CORE,Y
A3-EC01-01,EC-01,Why the Real Building Anchors This Case,PT-01,NONE,"EC-01 §1, §0b","Every claim about SEM-MCD-001 is tagged VERIFIED/PARTIAL/DERIVED/TBD, never assumed",Source→Fact→Provenance→Status chain,MEDIUM,N/A (meta),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC01-02,EC-01,Identity & Geometry Fact Sheet,PT-03,NONE,"EC-01 §3, §4","SEM-MCD-001 is a 9-floor, 3-entrance brick building; footprint geometry remains unresolved",Identity card + stepped-footprint sketch,MEDIUM,VERIFIED/PARTIAL mix,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC01-03,EC-01,Area Taxonomy — Resolved Evidence Story,PT-03,COMPARISON,"EC-01 §0b, §5","Four distinct area categories were mischaracterized as conflicts until an owner-approved taxonomy clarified them",4-category comparison table,LOW,RESOLVED (taxonomy),LINKED,CONTENT EXTRACTED,SUPPORTING,N
A3-EC01-04,EC-01,Engineering Systems — Existence vs. Location,PT-04,NONE,"EC-01 §7, §14","Documented engineering systems are confirmed at system-existence level; specific component locations remain TBD.",Systems existence/topology/location matrix,HIGH,VERIFIED(existence)/TBD(location),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC01-05,EC-01,"Conflicts, TBDs & Confidence",PT-08,NONE,"EC-01 §15, §16, §17","Two conflicts remain genuinely open; nine TBDs gate every downstream gate",Conflict/TBD register,MEDIUM,Mixed,LINKED,CONTENT EXTRACTED,SUPPORTING,N
A3-EC01-06,EC-01,Site Survey & 3D Readiness Handoff,PT-06,TBD REGISTER,"EC-01 §11, §12, §13","3D massing may proceed on floor count and footprint shape alone; nothing else is ready",3D usability matrix,LOW,PARTIAL,LINKED,CONTENT EXTRACTED,APPENDIX,N
A3-EC02-01,EC-02,Narrative,PT-01,NONE,"EC-02 §18, §4a","HouseMaster does not start with the sensor — it starts with the engineering question",3-column narrative,MEDIUM,N/A (meta),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC02-02,EC-02,Hero Graph,PT-02,NONE,EC-02 §18,"Physical systems → observable conditions → observation points → evidence → building state",Hero flow graph,MEDIUM,N/A (meta),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC02-03,EC-02,Master Observability Matrix,PT-04,NONE,EC-02 §15,"18 observable conditions span 10 systems/zones, all evidence-gated to L1",Master observability matrix,HIGH,VERIFIED/PARTIAL mix,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC02-04,EC-02,Reference Observation,PT-06,NONE,EC-02 §16,"The heating temperature candidate demonstrates the full evidence chain without inventing a component",Reference candidate block + flow,HIGH,VERIFIED(existence)/TBD(location),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-01,EC-03,Narrative,PT-01,NONE,EC-03 §34,"Connectivity serves an observation requirement; it does not define the observation's engineering meaning",3-column narrative,MEDIUM,N/A (meta),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-02,EC-03,Direct Connectivity Pattern,PT-06,NONE,EC-03 §26,"Each device may have its own connectivity path, undecided vs. Edge Aggregation",Direct flow diagram,HIGH,Conceptual,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-03,EC-03,Edge Aggregation Pattern,PT-06,NONE,EC-03 §27,"Devices may share a conceptual aggregation function, never named or placed",Edge flow diagram,HIGH,Conceptual,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-04,EC-03,Direct vs Edge Matrix,PT-05,NONE,EC-03 §28,"Fifteen criteria compared; no topology winner declared",Comparison matrix,HIGH,Conceptual,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-05,EC-03,Connectivity State / Reachability,PT-07,NONE,"EC-03 §21, §24","Seven proposed HouseMaster connectivity states are not Beeline's internal states",State table + reachability matrix,HIGH,Proposed,LINKED,CONTENT EXTRACTED,SUPPORTING,N
A3-EC03-06,EC-03,Failure Domains,PT-07,NONE,EC-03 §29,"Seven failure domains span device to HouseMaster processing; failure domain ≠ defect domain",Failure domain table,HIGH,Conceptual,LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-07,EC-03,Reference Heating Flow,PT-06,NONE,EC-03 §26 (worked instance),"The same OBS-CAND-001/DEV-CAND-001 candidate walked end-to-end through Direct Connectivity","Reference flow, concrete instance",HIGH,VERIFIED(existence)/TBD(location),LINKED,CONTENT EXTRACTED,CORE,Y
A3-EC03-08,EC-03,Master Device & Connectivity Matrix,PT-04,NONE,EC-03 §33,"All 16 device candidates, fully specified except location and topology","Master matrix (candidate split, §13)",HIGH,Mixed,LINKED,CONTENT EXTRACTED,CORE,N
A3-EC03-09,EC-03,TBD With Beeline,PT-08,NONE,EC-03 §30,"Fifteen connectivity-validation questions remain fully unanswered",TBD question register,HIGH,TBD WITH BEELINE,LINKED,CONTENT EXTRACTED,CORE,Y
